,ID,admin,age,sex,zone,gang,family,other,risk
1653,Devonshire-Topanga-11-101-1,2,18.0,1,4.0,0.858569829,-2.212316654,1.5092462880000002,2.549186175
1654,Southwest 2-23-176-1,1,16.0,2,23.0,,,,-1.62077402
1655,Northeast-20-292-1,2,22.0,1,14.0,5.503520968999999,6.544748311,,-1.568775751
1656,Southwest 1-15-305-2,3,32.0,1,22.0,3.1758506189999998,0.47839181299999994,,9.287356792999999
1657,Southwest 2-23-182-1,1,15.0,1,23.0,,-8.981357335,,1.849644054
1658,Southwest 2-23-179-1,1,23.0,2,23.0,,-7.375639075,,-2.151797765
1659,Southeast 2-20-216-1,2,23.0,1,20.0,,2.487253645,,-1.16846435
1660,Foothill-14-314-1,2,18.0,2,5.0,,-9.32462581,,-3.353912418
1661,77th 2-13-1449-1,1,17.0,2,2.0,,2.71010119,-1.467721246,1.8883012940000001
1662,Newton 2-23-167-1,2,19.0,1,13.0,,-2.183387356,,-2.358791886
1663,Hollenbeck 1-20-186-2,1,16.0,1,7.0,2.4230155769999997,-3.8868528330000003,,7.530852832000001
1664,Rampart 1-12-391-2,1,18.0,1,17.0,-3.743100011,-1.7665401790000002,-1.390377644,1.178707463
1665,Foothill-14-375-1,2,15.0,1,5.0,,-8.259500194,,-1.202798816
1666,77th 1-16-94-1,2,17.0,2,1.0,-3.020304276,-1.784085839,-1.3645157559999999,-3.986346087
1667,77th 1-16-95-1,2,18.0,2,1.0,0.689393895,-0.641018306,-0.723456297,-1.745609678
1668,Southwest 1-15-308-3,1,17.0,2,22.0,,-2.060526227,,11.96483165
1669,Foothill-14-436-1,1,14.0,1,5.0,,-5.436745928,,6.941036187000001
1670,SSSEARE-0-98-1,1,17.0,1,999.0,1.683076253,-4.400368787,,4.312145052
1671,Southwest 1-15-338-2,2,19.0,1,22.0,0.6812986240000001,0.43018792200000006,,-3.986346087
1672,Foothill-14-377-1,2,18.0,2,5.0,,-5.654306909,,4.465738644
1673,Northeast-20-278-2,1,17.0,1,14.0,-0.37456785200000003,-2.576767371,,-1.40875442
1674,Foothill-14-437-1,1,18.0,2,5.0,,-0.127412723,,-3.69734782
1675,Northeast-20-283-2,1,17.0,2,14.0,-5.09188637,-0.080426753,,-4.6187797569999995
1676,Newton 2-23-236-1,2,19.0,1,13.0,,-0.648191903,-0.728063661,-3.823034685
1677,Newton 2-23-217-1,2,29.0,1,13.0,,,0.114949211,-5.485774558999999
1678,BVCB-0-192-5,1,21.0,2,22.0,1.799441887,0.33791001,,-2.936788421
1679,Harbor-21-213-1,1,18.0,1,6.0,4.565319451000001,-1.394560269,,5.497264862000001
1680,Southeast 2-20-214-1,2,27.0,1,20.0,-1.279190649,1.9118032630000001,,-2.831204225
1681,Southwest 1-15-337-2,2,19.0,1,22.0,1.244848079,1.873258637,,-3.986346087
1682,Hollenbeck 1-20-184-2,1,16.0,2,7.0,2.465549947,5.186046003,,0.113215585
1683,Harbor-21-212-1,1,22.0,2,6.0,1.528280699,4.142211017,,0.32767405
1684,Foothill-14-428-1,1,16.0,2,5.0,,-1.4547472540000002,-2.347933659,-4.040783222
1685,Southwest 2-23-113-1,2,14.0,1,23.0,,0.22590316,0.05613048,-2.956039882
1686,Valley-92-33-1,2,18.0,1,999.0,,-0.292517094,,-3.2992937889999996
1687,Southwest 2-23-161-1,1,14.0,2,23.0,,-5.137159136,-1.942026515,3.0023470530000003
1688,Southeast 3-10-193-1,1,14.0,2,21.0,,5.187307401,3.347229585,-0.41780816
1689,Hollenbeck 2-20-171-2,1,17.0,1,8.0,,-0.8432399740000001,1.5239203190000001,-2.775915883
1690,FGSEARE-0-87-1,1,18.0,1,999.0,,1.6296217819999999,,-1.410126837
1691,Southwest 2-23-184-1,1,17.0,1,23.0,,-2.775275559,,2.529934714
1692,Newton 2-23-198-1,2,18.0,1,13.0,,2.7069036669999997,0.099031384,-3.8774718189999997
1693,Newton 1-17-268-1,1,23.0,1,12.0,,1.023189525,0.931977589,1.541575821
1694,Foothill-14-438-1,1,16.0,1,5.0,-7.187357067000001,1.260737936,4.40101874,-1.694462616
1695,Hollenbeck 2-20-158-3,1,23.0,2,8.0,,-3.699770576,-0.180265631,-0.432885349
1696,Southwest 2-23-167-1,1,24.0,1,23.0,,-1.0123748240000001,,0.764900715
1697,Southwest 1-15-374-2,1,26.0,1,22.0,,-3.278011834,,10.53160025
1698,Southwest 2-23-185-1,1,17.0,2,23.0,,-4.3349455830000005,,1.2331445970000001
1699,Newton 1-17-251-1,1,14.0,2,12.0,,1.4246421169999999,1.155942048,1.721518325
1700,Southwest 2-23-103-1,2,16.0,2,23.0,,0.7717963390000001,0.469739306,-2.197919348
1701,Southwest 2-23-154-1,1,15.0,1,23.0,,1.5131243380000001,,-1.4599014819999998
1702,Hollenbeck 1-20-150-2,2,19.0,1,7.0,-3.716358973,,-1.665823818,-1.113176009
1703,Foothill-14-388-1,2,17.0,1,5.0,3.5223277339999997,-5.751565425,,6.449553882000001
1704,Newton 1-17-250-1,1,17.0,2,12.0,,1.608697417,1.3822714919999999,-0.28136687899999996
1705,Southwest 2-23-162-1,1,14.0,1,23.0,,-3.454246276,,-1.113176009
1706,Southwest 2-23-143-2,1,16.0,1,23.0,,1.3655118380000002,-1.457654579,1.761059765
1707,Northeast-20-284-2,1,18.0,2,14.0,2.765501871,2.815828672,1.3923381590000001,-1.116466081
1708,Southwest 2-23-160-1,1,15.0,1,23.0,,-0.028131312000000002,,3.4002195889999998
1709,Southwest 2-23-128-2,1,16.0,2,23.0,,-1.9317742009999999,,1.038487894
1710,Southeast 3-10-197-1,1,14.0,2,21.0,,5.128601343,2.654688411,0.222089853
1711,Foothill-14-389-1,2,16.0,1,5.0,0.640616151,-1.741735805,,-0.468071022
1712,Northeast-20-325-1,1,15.0,2,14.0,,-3.759209858,0.244166385,1.4165586680000002
1713,Southwest 2-23-183-1,1,17.0,1,23.0,3.851939269,-1.555494545,,4.3922315439999995
1714,Southeast 3-10-190-1,1,14.0,2,21.0,,5.823023725,2.654688411,-0.08944994699999999
1715,Northeast-20-296-2,2,19.0,1,14.0,-0.566249413,0.9044010029999999,,-2.0153564840000002
1716,FGSEARE-0-84-1,2,18.0,1,999.0,,0.998392983,,-3.424799159
1717,77th 3-20-288-1,1,17.0,1,3.0,,6.290570557000001,,-3.6429106860000005
1718,Southwest 2-23-114-1,2,16.0,2,23.0,,1.33266272,,-2.486917616
1719,Southwest 2-23-164-1,1,13.0,2,23.0,,-1.43906593,,-0.881904947
1720,Valley-92-54-1,1,18.0,1,999.0,,0.566133749,0.9199106029999999,0.9396653359999999
1721,Newton 1-17-156-1,3,17.0,2,12.0,-3.7872416889999996,1.90212918,,-1.437359949
1722,Southwest 2-23-192-1,1,17.0,1,23.0,,-1.084846514,,4.427235722
1723,Southwest 2-23-177-1,1,19.0,1,23.0,,1.073696682,,2.271123818
1724,Newton 2-23-92-2,2,15.0,1,13.0,,2.2337402859999997,0.951746257,-5.485774558999999
1725,Newton 1-17-234-2,1,19.0,1,12.0,4.33813556,-6.266287062999999,,0.873774983
1726,Newton 1-17-232-1,2,22.0,1,12.0,,0.022782309,-0.57210547,-3.408349552
1727,Northeast-20-286-2,1,20.0,1,14.0,-3.921814143,-0.916452334,,0.944173507
1728,Olympic-12-138-2,1,18.0,1,15.0,,-7.038498188999999,-6.790298855,-1.402174276
1729,Northeast-20-303-1,2,22.0,1,14.0,1.4023351309999998,2.064038528,,2.132062178
1730,Newton 1-17-231-1,2,18.0,1,12.0,,2.8112902230000003,-0.198790503,-2.956039882
1731,Newton 1-17-243-2,1,18.0,1,12.0,3.4370646380000003,-1.5178666219999999,,0.9089606570000001
1732,Foothill-14-380-1,2,18.0,1,5.0,-0.38222417700000005,-0.704423404,-0.323764979,5.852151567999999
1733,CPHBRE-0-110-1,2,16.0,2,999.0,0.830690404,2.3992995969999997,,3.34093847
1734,Foothill-14-440-1,1,21.0,1,5.0,,,,1.7881113819999999
1735,Northeast-20-271-2,1,15.0,1,14.0,-0.161671672,-0.8955677809999999,,1.9753309190000001
1736,Mission-14-325-1,1,18.0,1,11.0,,3.933849002,-0.20079082199999998,-1.265551501
1737,FGSEARE-0-89-1,1,18.0,1,999.0,,-2.113143429,,1.228663603
1738,Newton 2-23-175-1,2,15.0,2,13.0,,3.562020592,-1.0546268840000002,-2.956039882
1739,Northeast-20-10-3,2,24.0,2,14.0,-5.852981064,-1.4618369469999999,,-0.7730306790000001
1740,Southwest 2-23-156-1,1,14.0,1,23.0,,0.504595507,,-2.092335151
1741,Mission-14-316-1,1,16.0,1,11.0,2.246461327,1.154540237,,0.331327112
1742,Northeast-20-130-3,2,19.0,2,14.0,-6.516448561,-1.1764087220000001,,-2.956039882
1743,Mission-14-322-1,1,16.0,2,11.0,,-0.770941661,-2.428006913,-0.432885349
1744,Southwest 2-23-138-1,2,17.0,2,23.0,,5.719582531,0.515005195,-1.675029659
1745,Foothill-14-433-2,1,22.0,2,11.0,-8.583600888,-1.291123655,3.299963377,-4.564342622
1746,Mission-14-321-1,1,18.0,1,11.0,-6.204882911,0.972661181,,-2.042560506
1747,Southwest 2-23-181-1,1,18.0,1,23.0,,-2.683017851,,-2.272459151
1748,Northeast-20-18-3,2,22.0,1,14.0,1.232504936,-0.187985426,,1.8463539830000002
1749,Southwest 2-23-35-3,2,18.0,2,23.0,,2.060281571,,-1.8033368840000001
1750,Hollenbeck 2-20-131-2,2,14.0,1,8.0,,,,-0.10209408699999999
1751,Hollenbeck 1-20-204-2,1,15.0,2,7.0,-4.697289218,2.0055322369999997,1.9269480140000002,2.694124501
1752,Southwest 2-23-166-1,1,20.0,1,23.0,,0.08451168699999999,,0.472612376
1753,Southeast 2-20-213-2,1,24.0,1,20.0,,0.713388797,-1.030615518,-3.5725121619999998
